country,2004,2005,2006,2007
Pitcairn,0,0,0,0
Peru,0,0,0,0
Philippines,2,3,3,3
Palau,0,0,0,0
Papua New Guinea,0,0,0,0
Poland,0,2,3,5
Puerto Rico,0,0,0,0
North Korea,0,0,0,0
Portugal,2,1,1,1
Paraguay,0,0,0,0
Palestine,0,0,0,0
French Polynesia,0,0,0,0
Qatar,0,0,0,0
Reunion,0,0,0,0
Romania,0,0,0,1
Russia,25,27,33,53
Rwanda,0,0,0,0
Saudi Arabia,8,7,11,13
Serbia and Montenegro,0,0,0,0
Serbia excluding Kosovo,0,0,0,0
Sudan,0,0,0,0
Senegal,0,0,0,0
Singapore,5,4,4,4
St. Helena,0,0,0,0
Svalbard,0,0,0,0
Solomon Islands,0,0,0,0
Sierra Leone,0,0,0,0
El Salvador,0,0,0,0
San Marino,0,0,0,0
Somalia,0,0,0,0
Somaliland,0,0,0,0
South Ossetia,0,0,0,0
St.-Pierre-et-Miquelon,0,0,0,0
Serbia,0,0,0,1
St. Barthélemy,0,0,0,0
St. Martin,0,0,0,0
Sao Tome and Principe,0,0,0,0
Suriname,0,0,0,0
Slovak Republic,0,0,0,0
Slovenia,0,0,0,0
Sweden,8,9,8,8
Eswatini,0,0,0,0
Seychelles,0,0,0,0
Syria,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Chad,0,0,0,0
Togo,0,0,0,0
Thailand,2,3,3,3
Tajikistan,0,0,0,0
Tokelau,0,0,0,0
Turkmenistan,0,0,0,0
Timor-Leste,0,0,0,0
Tonga,0,0,0,0
Transnistria,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,6,8,21,25
Tuvalu,0,0,0,0
Taiwan,10,7,5,8
Tanzania,0,0,0,0
Uganda,0,0,0,0
Ukraine,0,3,3,7
Uruguay,0,0,0,0
USA,277,341,371,415
USSR,0,0,0,0
Uzbekistan,0,0,0,0
St. Vincent and the Grenadines,0,0,0,0
Venezuela,2,2,2,2
British Virgin Islands,0,0,0,0
Virgin Islands (U.S.),0,0,0,0
Vietnam,0,0,0,0
Vanuatu,0,0,0,0
Wallis et Futuna,0,0,0,0
Samoa,0,0,0,0
Yemen,0,0,0,0
North Yemen (former),0,0,0,0
South Yemen (former),0,0,0,0
Yugoslavia,0,0,0,0
South Africa,2,3,3,3
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
